name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score,Annual_Class_BP,Household_Class_BP,EV_Class_BP,Carbon_Reduction_kgCO2,Carbon_Reduction_tonsCO2,Estimated_System_kW,Estimated_System_MW,Estimated_Solar_Cost_USD,Estimated_Solar_Cost_Million_USD
Commercial on Scotland Drive,commercial,"Dallas County, Texas",Scotland Drive,32.6430136608444,-96.88025218,53338.02136388285,34669.71,3220.816059,1034526.0,1034.53,2834.3,78.7,5333,31224,4,9,0.0859,Medium,Medium,Medium,346566.0,346.57,644.16,0.644,1288320.0,1.288
Industrial on South Central Expressway,industrial,"Dallas County, Texas",South Central Expressway,32.70065674995087,-96.74370043,74451.53343,48393.5,4495.75615,1444037.0,1444.04,3956.3,109.8,980,17612,0,1,0.0235,Medium,Low,Low,483752.0,483.75,899.15,0.899,1798300.0,1.798
Commercial on Forest Lane,commercial,"Dallas County, Texas",Forest Lane,32.90879915997562,-96.86105232,54148.16826965552,35196.31,3269.737199,1050240.0,1050.24,2877.4,79.9,4538,39491,0,31,0.0741,Medium,Medium,Low,351830.0,351.83,653.95,0.654,1307900.0,1.308
Commercial on High Dale Drive,commercial,"Dallas County, Texas",High Dale Drive,32.911116594614384,-96.86157026,88094.69525814716,57261.55,5319.597995,1708655.0,1708.66,4681.2,129.9,4470,39780,0,32,0.0772,Medium,Medium,Low,572399.0,572.4,1063.92,1.064,2127840.0,2.128
Retail on Dunloe Drive,retail,"Dallas County, Texas",Dunloe Drive,32.83603951,-96.67421833,149438.17695626794,97134.82,9023.824778,2898453.0,2898.45,7941.0,220.4,5805,51924,0,8,0.1044,Medium,Medium,Low,970982.0,970.98,1804.76,1.805,3609520.0,3.61
Commercial on Centerville Road,commercial,"Dallas County, Texas",Centerville Road,32.84370860735287,-96.66923174,113561.16677097454,73814.76,6857.391204,2202594.0,2202.59,6034.5,167.5,6022,51341,0,8,0.1034,Medium,Medium,Low,737869.0,737.87,1371.48,1.371,2742960.0,2.743
Commercial on Alvin Street,commercial,"Dallas County, Texas",Alvin Street,32.84399244882163,-96.68684293,147335.32110561518,95767.96,8896.843484,2857666.0,2857.67,7829.2,217.3,5623,49721,2,6,0.1015,Medium,Medium,Low,957318.0,957.32,1779.37,1.779,3558740.0,3.559
Commercial on Plano Road,commercial,"Dallas County, Texas",Plano Road,32.88031927423685,-96.70142948,53246.95554804697,34610.52,3215.317308,1032760.0,1032.76,2829.5,78.5,6482,56008,1,8,0.103,Medium,Medium,Low,345975.0,345.98,643.06,0.643,1286120.0,1.286
Commercial on Amberton Parkway,commercial,"Dallas County, Texas",Amberton Parkway,32.91820303765642,-96.74059018,42171.95611229262,27411.77,2546.553433,817953.0,817.95,2241.0,62.2,8843,69113,0,19,0.1369,Low,Medium,Low,274014.0,274.01,509.31,0.509,1018620.0,1.019
Industrial on Forest Lane,industrial,"Dallas County, Texas",Forest Lane,32.91131929734914,-96.75299167,902017.0315335842,586311.07,54468.29840299999,17495217.0,17495.22,47932.1,1330.2,6928,71199,0,20,0.2114,High,Medium,Low,5860898.0,5860.9,10893.66,10.894,21787320.0,21.787
