name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score,Annual_Class_BP,Household_Class_BP,EV_Class_BP,Carbon_Reduction_kgCO2,Carbon_Reduction_tonsCO2,Estimated_System_kW,Estimated_System_MW,Estimated_Solar_Cost_USD,Estimated_Solar_Cost_Million_USD
Commercial on Profit Drive,commercial,"Dallas County, Texas",Profit Drive,32.97901336963764,-96.70092286,38651.18852862733,25123.27,2333.951783,749665.0,749.66,2053.9,57.0,3679,43050,10,34,0.0595,Low,Low,Medium,251138.0,251.14,466.79,0.467,933580.0,0.934
Commercial on North Plano Road,commercial,"Dallas County, Texas",North Plano Road,32.97756150498113,-96.70086858,76237.72712613695,49554.52,4603.614908,1478681.0,1478.68,4051.2,112.4,3601,43168,10,34,0.0628,Medium,Low,Medium,495358.0,495.36,920.72,0.921,1841440.0,1.841
Commercial on North Glenville Drive,commercial,"Dallas County, Texas",North Glenville Drive,32.98522954163836,-96.70357129,24527.69968672116,15943.0,1481.1047,475731.0,475.73,1303.4,36.2,5001,43078,12,44,0.0775,Low,Medium,Medium,159370.0,159.37,296.22,0.296,592440.0,0.592
Commercial on North Glenville Drive,commercial,"Dallas County, Texas",North Glenville Drive,32.98350568947162,-96.70358617,26178.662683030016,17016.13,1580.798477,507752.0,507.75,1391.1,38.6,4342,43009,11,42,0.0679,Low,Medium,Medium,170097.0,170.1,316.16,0.316,632320.0,0.632
Commercial on East Lookout Drive,commercial,"Dallas County, Texas",East Lookout Drive,32.98413142786753,-96.69826681,129096.77554591402,83912.9,7795.508409999999,2503917.0,2503.92,6860.0,190.4,4123,43106,9,35,0.0769,Medium,Medium,Medium,838812.0,838.81,1559.1,1.559,3118200.0,3.118
Greenway,commercial,"Dallas County, Texas",Lakeside Boulevard,32.98004227,-96.71097893,27869.064701333493,18114.89,1682.873281,540539.0,540.54,1480.9,41.1,4273,43176,11,39,0.067,Low,Medium,Medium,181081.0,181.08,336.57,0.337,673140.0,0.673
Commercial on North Greenville Avenue,commercial,"Dallas County, Texas",North Greenville Avenue,32.982406024302755,-96.70235235,27093.659438555413,17610.88,1636.050752,525500.0,525.5,1439.7,40.0,3979,43010,10,41,0.0626,Low,Medium,Medium,176042.0,176.04,327.21,0.327,654420.0,0.654
Commercial on East Lookout Drive,commercial,"Dallas County, Texas",East Lookout Drive,32.98422886483788,-96.70218906,52892.67287307287,34380.24,3193.924296,1025888.0,1025.89,2810.7,78.0,4510,43077,11,42,0.0736,Medium,Medium,Medium,343672.0,343.67,638.78,0.639,1277560.0,1.278
Commercial on North Glenville Drive,commercial,"Dallas County, Texas",North Glenville Drive,32.98437373935048,-96.70349645,46981.38647877288,30537.9,2836.97091,911235.0,911.24,2496.5,69.3,4671,43042,11,43,0.0753,Medium,Medium,Medium,305264.0,305.26,567.39,0.567,1134780.0,1.135
Commercial on Summertree Court,commercial,"Dallas County, Texas",Summertree Court,32.97570149593802,-96.69767113,35707.090190848285,23209.61,2156.172769,692563.0,692.56,1897.4,52.7,3609,43273,9,33,0.0581,Low,Low,Medium,232009.0,232.01,431.23,0.431,862460.0,0.862
Commercial on East Campbell Road,commercial,"Dallas County, Texas",East Campbell Road,32.97538776222576,-96.69825557,20931.187866060045,13605.27,1263.929583,405974.0,405.97,1112.3,30.9,3579,43339,9,33,0.0559,Low,Low,Medium,136001.0,136.0,252.79,0.253,505580.0,0.506
24 Hour Fitness,commercial,"Dallas County, Texas",East Campbell Road,32.97622908230457,-96.70073739,26245.04174227263,17059.28,1584.8071119999995,509040.0,509.04,1394.6,38.7,3542,43318,10,34,0.0559,Low,Low,Medium,170528.0,170.53,316.96,0.317,633920.0,0.634
Commercial on North Plano Road,commercial,"Dallas County, Texas",North Plano Road,32.97716679498512,-96.69902313,22644.568291807765,14718.97,1367.3923129999998,439206.0,439.21,1203.3,33.4,3595,43129,10,34,0.0563,Low,Low,Medium,147134.0,147.13,273.48,0.273,546960.0,0.547
Commercial on North Plano Road,commercial,"Dallas County, Texas",North Plano Road,32.98483296,-96.7006124,27008.63502945593,17555.61,1630.916169,523850.0,523.85,1435.2,39.8,4583,43142,13,40,0.0715,Low,Medium,High,175490.0,175.49,326.18,0.326,652360.0,0.652
Commercial on North Plano Road,commercial,"Dallas County, Texas",North Plano Road,32.97649437178083,-96.6986375,40401.32766696611,26260.86,2439.633894,783610.0,783.61,2146.9,59.6,3587,43184,10,33,0.0583,Low,Low,Medium,262509.0,262.51,487.93,0.488,975860.0,0.976
Retail on East Belt Line Road,retail,"Dallas County, Texas",East Belt Line Road,32.94596467617574,-96.69643375,21058.596126885248,13688.09,1271.623561,408445.0,408.44,1119.0,31.1,4701,52345,1,15,0.0726,Low,Medium,Low,136829.0,136.83,254.32,0.254,508640.0,0.509
Commercial on East Belt Line Road,commercial,"Dallas County, Texas",East Belt Line Road,32.946619323931145,-96.70119284,53899.38582769479,35034.6,3254.7143399999995,1045414.0,1045.41,2864.1,79.5,4395,53722,1,15,0.072,Medium,Medium,Low,350214.0,350.21,650.94,0.651,1301880.0,1.302
Retail on Buckingham Road,retail,"Dallas County, Texas",Buckingham Road,32.932289123384805,-96.70228159,83983.87383987813,54589.52,5071.366408,1628923.0,1628.92,4462.8,123.9,6337,57537,0,10,0.1045,Medium,Medium,Low,545689.0,545.69,1014.27,1.014,2028540.0,2.029
Retail on Mackie Drive,retail,"Dallas County, Texas",Mackie Drive,32.94373405859241,-96.70120817,54065.98381903746,35142.89,3264.774481,1048646.0,1048.65,2873.0,79.7,4480,55244,1,15,0.0733,Medium,Medium,Low,351296.0,351.3,652.95,0.653,1305900.0,1.306
Commercial on Mackie Drive,commercial,"Dallas County, Texas",Mackie Drive,32.94278885775415,-96.70195442,75071.38066491227,48796.4,4533.18556,1456059.0,1456.06,3989.2,110.7,4565,55596,1,13,0.077,Medium,Medium,Low,487780.0,487.78,906.64,0.907,1813280.0,1.813
Walmart Neighborhood Market,retail,"Dallas County, Texas",Buckingham Road,32.93253225900063,-96.6972894,43388.23620778091,28202.35,2619.998315,841543.0,841.54,2305.6,64.0,6099,55740,0,6,0.0961,Medium,Medium,Low,281917.0,281.92,524.0,0.524,1048000.0,1.048
Commercial on Village North Drive,commercial,"Dallas County, Texas",Village North Drive,32.94420787615661,-96.68371157,41915.77728778436,27245.26,2531.084654,812984.0,812.98,2227.4,61.8,6212,49186,0,12,0.0976,Low,Medium,Low,272350.0,272.35,506.22,0.506,1012440.0,1.012
Retail on East Belt Line Road,retail,"Dallas County, Texas",East Belt Line Road,32.94378267091914,-96.69344602,69981.82592471785,45488.19,4225.852851,1357344.0,1357.34,3718.8,103.2,5075,52150,0,11,0.084,Medium,Medium,Low,454710.0,454.71,845.17,0.845,1690340.0,1.69
Retail on North Jupiter Road,retail,"Dallas County, Texas",North Jupiter Road,32.932400118837165,-96.68380192,62730.56922,40774.87,3787.985423,1216701.0,1216.7,3333.4,92.5,6714,51821,0,6,0.1076,Medium,Medium,Low,407595.0,407.6,757.6,0.758,1515200.0,1.515
Public Storage,commercial,"Dallas County, Texas",Audelia Road,32.93557123073735,-96.72034385,26536.780947439453,17248.91,1602.4237389999998,514699.0,514.7,1410.1,39.1,5730,63152,0,18,0.0886,Low,Medium,Low,172424.0,172.42,320.48,0.32,640960.0,0.641
Richardson Stars Center,commercial,"Dallas County, Texas",Centennial Boulevard,32.93692505769759,-96.72308823,50936.69019706389,33108.85,3075.812165,987951.0,987.95,2706.7,75.1,5350,62825,0,18,0.0858,Medium,Medium,Low,330964.0,330.96,615.16,0.615,1230320.0,1.23
Commercial on Abrams Road,commercial,"Dallas County, Texas",Abrams Road,32.936857140478374,-96.7320286,37121.455598814806,24128.95,2241.579455,719995.0,720.0,1972.6,54.7,5229,62394,0,18,0.0824,Low,Medium,Low,241198.0,241.2,448.32,0.448,896640.0,0.897
Commercial on Richland College Drive,commercial,"Dallas County, Texas",Richland College Drive,32.92660373411573,-96.73356983,21640.53775,14066.35,1306.763915,419733.0,419.73,1150.0,31.9,6875,63881,0,15,0.1051,Low,Medium,Low,140611.0,140.61,261.35,0.261,522700.0,0.523
Commercial on Walnut Street,commercial,"Dallas County, Texas",Walnut Street,32.925790774307416,-96.7334182,24054.48201168913,15635.41,1452.529589,466553.0,466.55,1278.2,35.5,7210,64093,0,15,0.1104,Low,Medium,Low,156295.0,156.29,290.51,0.291,581020.0,0.581
Commercial on Richland College Drive,commercial,"Dallas County, Texas",Richland College Drive,32.925917731434474,-96.73223502,30942.713249979955,20112.76,1868.475404,600154.0,600.15,1644.3,45.6,7298,63822,0,15,0.1125,Low,Medium,Low,201052.0,201.05,373.7,0.374,747400.0,0.747
Kroger,retail,"Dallas County, Texas",Centennial Boulevard,32.936429947414794,-96.72067085,62130.11605788445,40384.58,3751.727482,1205055.0,1205.06,3301.5,91.6,5540,63063,0,18,0.09,Medium,Medium,Low,403693.0,403.69,750.35,0.75,1500700.0,1.501
Commercial on South Central Expressway,commercial,"Dallas County, Texas",South Central Expressway,32.93787802668047,-96.74498403,56840.72637024646,36946.47,3432.327063,1102463.0,1102.46,3020.4,83.8,7479,60899,7,18,0.1183,Medium,Medium,Medium,369325.0,369.32,686.47,0.686,1372940.0,1.373
Commercial on South Central Expressway,commercial,"Dallas County, Texas",South Central Expressway,32.93855335424467,-96.74452091,90926.60308871194,59102.29,5490.602741,1763582.0,1763.58,4831.7,134.1,7316,60718,7,18,0.1199,Medium,Medium,Medium,590800.0,590.8,1098.12,1.098,2196240.0,2.196
Commercial on North Grove Road,commercial,"Dallas County, Texas",North Grove Road,32.95629242774254,-96.71986479,81517.32915421929,52986.26,4922.423554,1581082.0,1581.08,4331.7,120.2,3929,50761,3,26,0.0683,Medium,Medium,Medium,529662.0,529.66,984.48,0.984,1968960.0,1.969
Commercial on North Dorothy Drive,commercial,"Dallas County, Texas",North Dorothy Drive,32.95767802314027,-96.72202419,25135.9262640786,16338.35,1517.832715,487528.0,487.53,1335.7,37.1,4012,50140,3,29,0.0628,Low,Medium,Medium,163322.0,163.32,303.57,0.304,607140.0,0.607
Commercial on North Grove Road,commercial,"Dallas County, Texas",North Grove Road,32.95609872897625,-96.7178215,60228.09006934489,39148.26,3636.873354,1168164.0,1168.16,3200.4,88.8,3842,50720,2,25,0.0645,Medium,Low,Low,391335.0,391.34,727.37,0.727,1454740.0,1.455
Commercial on Apollo Road,commercial,"Dallas County, Texas",Apollo Road,32.95612590198197,-96.72178202,119577.74295922212,77725.53,7220.701736999999,2319289.0,2319.29,6354.2,176.3,4023,50943,2,28,0.0743,Medium,Medium,Low,776962.0,776.96,1444.14,1.444,2888280.0,2.888
Commercial on North Dorothy Drive,commercial,"Dallas County, Texas",North Dorothy Drive,32.95717192557394,-96.72207244,33404.70234,21713.06,2017.143274,647906.0,647.91,1775.1,49.3,4021,50350,3,28,0.0639,Low,Medium,Medium,217049.0,217.05,403.43,0.403,806860.0,0.807
Commercial on North Dorothy Drive,commercial,"Dallas County, Texas",North Dorothy Drive,32.95737894359161,-96.72104547,41628.05660510879,27058.24,2513.710496,807404.0,807.4,2212.1,61.4,3968,50258,3,28,0.0641,Low,Medium,Medium,270480.0,270.48,502.74,0.503,1005480.0,1.005
Commercial on North Grove Road,commercial,"Dallas County, Texas",North Grove Road,32.95787012,-96.72021957,53740.93668739102,34931.61,3245.146569,1042341.0,1042.34,2855.7,79.3,3923,50044,4,30,0.0649,Medium,Medium,Medium,349184.0,349.18,649.03,0.649,1298060.0,1.298
Commercial on North Grove Road,commercial,"Dallas County, Texas",North Grove Road,32.95749557069101,-96.71966562,33934.12783386188,22057.18,2049.112022,658175.0,658.18,1803.2,50.0,3902,50177,4,30,0.0622,Low,Low,Medium,220489.0,220.49,409.82,0.41,819640.0,0.82
Commercial on North Interurban Street,commercial,"Dallas County, Texas",North Interurban Street,32.959718158795205,-96.72689051,114197.27204343567,74228.23,6895.802567,2214932.0,2214.93,6068.3,168.4,4250,49508,2,30,0.077,Medium,Medium,Low,742002.0,742.0,1379.16,1.379,2758320.0,2.758
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.95997162928735,-96.72116879,71365.30216016789,46387.45,4309.394104999999,1384177.0,1384.18,3792.3,105.2,3954,49439,4,33,0.0675,Medium,Medium,Medium,463699.0,463.7,861.88,0.862,1723760.0,1.724
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.959730230091324,-96.71957914,78850.66453626392,51252.93,4761.397197,1529361.0,1529.36,4190.0,116.3,3875,49374,5,34,0.0672,Medium,Low,Medium,512336.0,512.34,952.28,0.952,1904560.0,1.905
Commercial on North Bowser Road,commercial,"Dallas County, Texas",North Bowser Road,32.95901891,-96.71503539,25395.78965197757,16507.26,1533.524454,492568.0,492.57,1349.5,37.5,3686,49232,4,30,0.058,Low,Low,Medium,165010.0,165.01,306.7,0.307,613400.0,0.613
Commercial on North Grove Road,commercial,"Dallas County, Texas",North Grove Road,32.958166147741295,-96.7178238,41965.36410992008,27277.49,2534.078821,813946.0,813.95,2230.0,61.9,3803,49757,4,30,0.0617,Low,Low,Medium,272672.0,272.67,506.82,0.507,1013640.0,1.014
Commercial on North Dorothy Drive,commercial,"Dallas County, Texas",North Dorothy Drive,32.95818350601127,-96.72198501,22833.03402860164,14841.47,1378.772563,442862.0,442.86,1213.3,33.7,4004,49961,3,31,0.0624,Low,Medium,Medium,148359.0,148.36,275.75,0.276,551500.0,0.552
Commercial on North Grove Road,commercial,"Dallas County, Texas",North Grove Road,32.95560423808487,-96.71975741,145010.96286700023,94257.13,8756.487377,2812584.0,2812.58,7705.7,213.9,3936,51186,3,25,0.076,Medium,Medium,Medium,942216.0,942.22,1751.3,1.751,3502600.0,3.503
Commercial on North Grove Road,commercial,"Dallas County, Texas",North Grove Road,32.95748758179968,-96.71902785,21464.33764859308,13951.82,1296.1240779999998,416315.0,416.32,1140.6,31.7,3872,50141,4,29,0.0603,Low,Low,Medium,139466.0,139.47,259.22,0.259,518440.0,0.518
Commercial on North Dorothy Drive,commercial,"Dallas County, Texas",North Dorothy Drive,32.95877142493691,-96.72173946,57382.709823224,37298.76,3465.054804,1112976.0,1112.98,3049.2,84.6,3987,49772,3,31,0.0663,Medium,Medium,Medium,372847.0,372.85,693.01,0.693,1386020.0,1.386
Commercial on North Bowser Road,commercial,"Dallas County, Texas",North Bowser Road,32.95688639516072,-96.71465698,26372.55990862161,17142.16,1592.506664,511513.0,511.51,1401.4,38.9,3733,50103,3,25,0.0588,Low,Low,Medium,171357.0,171.36,318.5,0.318,637000.0,0.637
Commercial on North Bowser Road,commercial,"Dallas County, Texas",North Bowser Road,32.956293715230544,-96.71467845,27370.405114036992,17790.76,1652.7616039999998,530867.0,530.87,1454.4,40.4,3751,50394,2,25,0.0592,Low,Low,Low,177840.0,177.84,330.55,0.331,661100.0,0.661
Commercial on Sterling Drive,commercial,"Dallas County, Texas",Sterling Drive,32.95539525051562,-96.7146868,27277.735913288627,17730.53,1647.166237,529070.0,529.07,1449.5,40.2,3779,50862,2,23,0.0596,Low,Low,Low,177238.0,177.24,329.43,0.329,658860.0,0.659
Commercial on Sterling Drive,commercial,"Dallas County, Texas",Sterling Drive,32.95484587499804,-96.71473959,27258.87672171461,17718.27,1646.027283,528704.0,528.7,1448.5,40.2,3798,51191,2,23,0.0599,Low,Low,Low,177116.0,177.12,329.21,0.329,658420.0,0.658
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.96015063441504,-96.71638623,22360.01948263969,14534.01,1350.209529,433687.0,433.69,1188.2,33.0,3704,49013,4,34,0.0579,Low,Low,Medium,145285.0,145.28,270.04,0.27,540080.0,0.54
Commercial on Sterling Drive,commercial,"Dallas County, Texas",Sterling Drive,32.95449398980576,-96.71530977,24852.32461292102,16154.01,1500.707529,482027.0,482.03,1320.6,36.7,3816,51503,2,23,0.0599,Low,Low,Low,161479.0,161.48,300.14,0.3,600280.0,0.6
Commercial on North Bowser Road,commercial,"Dallas County, Texas",North Bowser Road,32.955898399060324,-96.71506186,37492.17630449296,24369.91,2263.964639,727185.0,727.18,1992.3,55.3,3768,50629,2,24,0.0607,Low,Low,Low,243607.0,243.61,452.79,0.453,905580.0,0.906
Westside,industrial,"Dallas County, Texas",North Coit Road,32.95231915651012,-96.76689411,26366.24306385592,17138.06,1592.125774,511391.0,511.39,1401.1,38.9,5926,62445,0,28,0.0915,Low,Medium,Low,171316.0,171.32,318.43,0.318,636860.0,0.637
Commercial on Prairie Creek Drive East,commercial,"Dallas County, Texas",Prairie Creek Drive East,32.977467693496656,-96.72280187,20218.857186417445,13142.26,1220.915954,392158.0,392.16,1074.4,29.8,4485,44920,6,40,0.0693,Low,Medium,Medium,131373.0,131.37,244.18,0.244,488360.0,0.488
Commercial on North Collins Boulevard,commercial,"Dallas County, Texas",North Collins Boulevard,32.976902018621395,-96.72343006,23809.13174559556,15475.94,1437.714826,461794.0,461.79,1265.2,35.1,4445,45109,5,40,0.0691,Low,Medium,Medium,154701.0,154.7,287.54,0.288,575080.0,0.575
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.97006328171345,-96.72054023,23017.82003977061,14961.58,1389.930782,446446.0,446.45,1223.1,33.9,3884,45979,4,34,0.0607,Low,Low,Medium,149559.0,149.56,277.99,0.278,555980.0,0.556
Commercial on North Collins Boulevard,commercial,"Dallas County, Texas",North Collins Boulevard,32.97009599893141,-96.72290886,34538.597263988806,22450.09,2085.613361,669899.0,669.9,1835.3,50.9,4004,46499,4,38,0.0638,Low,Medium,Medium,224416.0,224.42,417.12,0.417,834240.0,0.834
Commercial on North Collins Boulevard,commercial,"Dallas County, Texas",North Collins Boulevard,32.97180497012872,-96.72461315,29187.33053113528,18971.76,1762.4765039999995,566107.0,566.11,1551.0,43.0,4109,46526,4,39,0.0647,Low,Medium,Medium,189646.0,189.65,352.5,0.352,705000.0,0.705
Commercial on North Collins Boulevard,commercial,"Dallas County, Texas",North Collins Boulevard,32.97182716654997,-96.72309272,28145.626274506067,18294.66,1699.5739139999998,545903.0,545.9,1495.6,41.5,4035,46018,4,39,0.0635,Low,Medium,Medium,182878.0,182.88,339.91,0.34,679820.0,0.68
Commercial on Municipal Drive,commercial,"Dallas County, Texas",Municipal Drive,32.97299043,-96.72557342,34196.25149691025,22227.56,2064.940324,663259.0,663.26,1817.1,50.4,4214,46507,3,39,0.0669,Low,Medium,Medium,222192.0,222.19,412.99,0.413,825980.0,0.826
Commercial on North Collins Boulevard,commercial,"Dallas County, Texas",North Collins Boulevard,32.970937984864044,-96.72437498,24369.789843862363,15840.36,1471.569444,472668.0,472.67,1295.0,35.9,4080,46713,4,38,0.0637,Low,Medium,Medium,158344.0,158.34,294.31,0.294,588620.0,0.589
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.965505236986544,-96.72412339,30587.602185664084,19881.94,1847.032226,593267.0,593.27,1625.4,45.1,4067,48761,3,37,0.0643,Low,Medium,Medium,198744.0,198.74,369.41,0.369,738820.0,0.739
Toyota Certified Used Vehicles Richardson,retail,"Dallas County, Texas",Monte Blaine Lane,32.964638853932435,-96.72531519,44337.31175945219,28819.25,2677.308325,859951.0,859.95,2356.0,65.4,4133,49250,2,37,0.0669,Medium,Medium,Low,288084.0,288.08,535.46,0.535,1070920.0,1.071
Commercial on Monte Blaine Lane,commercial,"Dallas County, Texas",Monte Blaine Lane,32.96660408123831,-96.72538965,35401.66353802642,23011.08,2137.729332,686639.0,686.64,1881.2,52.2,4127,48679,2,42,0.0658,Low,Medium,Low,230024.0,230.02,427.55,0.428,855100.0,0.855
Commercial on Melrose Drive,commercial,"Dallas County, Texas",Melrose Drive,32.967157395804975,-96.72446164,25763.50891862877,16746.28,1555.729412,499700.0,499.7,1369.0,38.0,4079,48185,3,42,0.0639,Low,Medium,Medium,167400.0,167.4,311.15,0.311,622300.0,0.622
Commercial on Richardson Drive,commercial,"Dallas County, Texas",Richardson Drive,32.968461232800564,-96.72785922,24383.647245663484,15849.37,1472.406473,472937.0,472.94,1295.7,36.0,4269,48885,2,44,0.0666,Low,Medium,Low,158434.0,158.43,294.48,0.294,588960.0,0.589
Toyota of Richardson,commercial,"Dallas County, Texas",Monte Blaine Lane,32.967122171319296,-96.7262856,48790.49675242144,31713.82,2946.213878,946324.0,946.32,2592.7,72.0,4173,48804,2,44,0.068,Medium,Medium,Low,317019.0,317.02,589.24,0.589,1178480.0,1.178
Commercial on Twilight Trail,commercial,"Dallas County, Texas",Twilight Trail,32.95906696697482,-96.73607127,24933.08328713118,16206.5,1505.58385,483594.0,483.59,1324.9,36.8,4751,50863,1,34,0.0738,Low,Medium,Low,162004.0,162.0,301.12,0.301,602240.0,0.602
Commercial on Hampshire Lane,commercial,"Dallas County, Texas",Hampshire Lane,32.96058018692726,-96.73816635,20508.35287063803,13330.43,1238.396947,397773.0,397.77,1089.8,30.2,4840,51156,1,37,0.0746,Low,Medium,Low,133254.0,133.25,247.68,0.248,495360.0,0.495
Commercial on Twilight Trail,commercial,"Dallas County, Texas",Twilight Trail,32.960404604728524,-96.73630098,30732.614755670635,19976.2,1855.78898,596079.0,596.08,1633.1,45.3,4755,50760,1,36,0.0746,Low,Medium,Low,199686.0,199.69,371.16,0.371,742320.0,0.742
Commercial on North Plano Road,commercial,"Dallas County, Texas",North Plano Road,32.96889374110375,-96.69908079,56009.87049053783,36406.42,3382.156418,1086349.0,1086.35,2976.3,82.6,3632,45843,7,31,0.0608,Medium,Low,Medium,363927.0,363.93,676.43,0.676,1352860.0,1.353
Commercial on North Plano Road,commercial,"Dallas County, Texas",North Plano Road,32.97185099352487,-96.6987994,21102.727887157336,13716.77,1274.287933,409301.0,409.3,1121.4,31.1,3565,44555,7,31,0.0557,Low,Low,Medium,137116.0,137.12,254.86,0.255,509720.0,0.51
Commercial on Valcourt Drive,commercial,"Dallas County, Texas",Valcourt Drive,32.97254640384429,-96.69880012,22526.271859221182,14642.08,1360.249232,436912.0,436.91,1197.0,33.2,3555,44261,7,31,0.0557,Low,Low,Medium,146366.0,146.37,272.05,0.272,544100.0,0.544
Commercial on Valcourt Drive,commercial,"Dallas County, Texas",Valcourt Drive,32.97218622505628,-96.6979573,27441.426744902048,17836.93,1657.050797,532245.0,532.24,1458.2,40.5,3593,44371,7,31,0.0568,Low,Low,Medium,178302.0,178.3,331.41,0.331,662820.0,0.663
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.96171692490291,-96.68442256,44724.29675833698,29070.79,2700.676391,867457.0,867.46,2376.6,66.0,5112,46569,0,28,0.0816,Medium,Medium,Low,290598.0,290.6,540.14,0.54,1080280.0,1.08
Commercial on East Arapaho Road,commercial,"Dallas County, Texas",East Arapaho Road,32.96136085860056,-96.69904279,30415.884013160627,19770.32,1836.662728,589936.0,589.94,1616.3,44.9,3980,48906,3,22,0.063,Low,Medium,Medium,197629.0,197.63,367.33,0.367,734660.0,0.735
Commercial on Bridle Drive,commercial,"Dallas County, Texas",Bridle Drive,32.96165171317341,-96.69843405,44443.59878889778,28888.34,2683.726786,862013.0,862.01,2361.7,65.5,4006,48750,3,25,0.065,Medium,Medium,Medium,288774.0,288.77,536.75,0.537,1073500.0,1.074
Commercial on Buckingham Road,commercial,"Dallas County, Texas",Buckingham Road,32.93176181941908,-96.70779125,20077.174797161988,13050.16,1212.359864,389410.0,389.41,1066.9,29.6,6640,59891,0,14,0.1014,Low,Medium,Low,130452.0,130.45,242.47,0.242,484940.0,0.485
Goodwill,retail,"Dallas County, Texas",West Interstate 30,32.842246909997954,-96.59436897,45566.616728845824,29618.3,2751.54007,883795.0,883.8,2421.4,67.2,4770,33402,1,4,0.0766,Medium,Medium,Low,296071.0,296.07,550.31,0.55,1100620.0,1.101
Retail on West Bethel Road,retail,"Dallas County, Texas",West Bethel Road,32.95578950000001,-97.0308534,107874.52955559314,70118.44,6514.003076,2092298.0,2092.3,5732.3,159.1,1085,15271,2,20,0.0291,Medium,Low,Low,700920.0,700.92,1302.8,1.303,2605600.0,2.606
Warehouse on Regent Boulevard,warehouse,"Dallas County, Texas",Regent Boulevard,32.942166965920826,-97.03310963,381469.43809812615,247955.13,23035.031577,7398852.0,7398.85,20270.8,562.6,170,11658,0,30,0.0483,High,Low,Low,2478615.0,2478.61,4607.01,4.607,9214020.0,9.214
Retail on West Bethel Road,retail,"Dallas County, Texas",West Bethel Road,32.956166,-97.02376035,173596.46398126573,112837.7,10482.62233,3367018.0,3367.02,9224.7,256.0,1270,16835,1,16,0.0397,High,Low,Low,1127951.0,1127.95,2096.52,2.097,4193040.0,4.193
Warehouse on Trade Avenue,warehouse,"Dallas County, Texas",Trade Avenue,32.93817455,-97.02600785,241147.3873292838,156745.8,14561.68482,4677213.0,4677.21,12814.3,355.6,405,11407,1,28,0.0349,High,Low,Low,1566866.0,1566.87,2912.34,2.912,5824680.0,5.825
Retail on West Bethel Road,retail,"Dallas County, Texas",West Bethel Road,32.955682751805895,-97.02871512,80964.01242311652,52626.61,4889.012068999999,1570351.0,1570.35,4302.3,119.4,1126,15639,1,21,0.0265,Medium,Low,Low,526068.0,526.07,977.8,0.978,1955600.0,1.956
Warehouse on Regent Boulevard,warehouse,"Dallas County, Texas",Regent Boulevard,32.941188275935296,-97.02356506,51239.78096863983,33305.86,3094.114394,993830.0,993.83,2722.8,75.6,584,12392,0,23,0.0148,Medium,Low,Low,332933.0,332.93,618.82,0.619,1237640.0,1.238
Warehouse on Regent Boulevard,warehouse,"Dallas County, Texas",Regent Boulevard,32.944639900000006,-97.0321379,57590.93104197657,37434.11,3477.628819,1117014.0,1117.01,3060.3,84.9,337,12326,0,24,0.0119,Medium,Low,Low,374200.0,374.2,695.53,0.696,1391060.0,1.391
Warehouse on North Royal Lane,warehouse,"Dallas County, Texas",North Royal Lane,32.94281669091588,-97.02093401,118047.68877180098,76731.0,7128.309899999999,2289613.0,2289.61,6272.9,174.1,774,13038,0,23,0.0257,Medium,Low,Low,767020.0,767.02,1425.66,1.426,2851320.0,2.851
Warehouse on Corporate Road,warehouse,"Dallas County, Texas",Corporate Road,32.93832341,-97.03335601,489646.8877665796,318270.48,29567.327592,9497026.0,9497.03,26019.2,722.1,92,10764,0,30,0.0601,High,Low,Low,3181504.0,3181.5,5913.47,5.913,11826940.0,11.827
Retail on West Bethel Road,retail,"Dallas County, Texas",West Bethel Road,32.95543549999999,-97.0139184,145474.02442213983,94558.12,8784.449348,2821565.0,2821.56,7730.3,214.5,1504,18519,0,16,0.0399,Medium,Low,Low,945224.0,945.22,1756.89,1.757,3513780.0,3.514
Warehouse on Trade Avenue,warehouse,"Dallas County, Texas",Trade Avenue,32.93454320000001,-97.02903335,535464.2969,348051.79,32334.011290999995,10385684.0,10385.68,28453.9,789.7,223,10297,1,29,0.0675,High,Low,Low,3479204.0,3479.2,6466.8,6.467,12933600.0,12.934
Warehouse on Corporate Road,warehouse,"Dallas County, Texas",Corporate Road,32.93632450076568,-97.03116359,557188.7045875129,362172.66,33645.840114,10807044.0,10807.04,29608.3,821.7,154,10519,1,29,0.0691,High,Low,Low,3620360.0,3620.36,6729.17,6.729,13458340.0,13.458
Warehouse on Regent Boulevard,warehouse,"Dallas County, Texas",Regent Boulevard,32.944484068830285,-97.0301792,251905.5745014792,163738.62,15211.317797999998,4885875.0,4885.88,13386.0,371.5,406,12495,0,24,0.0362,High,Low,Low,1636768.0,1636.77,3042.26,3.042,6084520.0,6.085
