name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft
Commercial on South Field Street,commercial,"Dallas County, Texas",South Field Street,32.77754405,-96.79947765,51226.45739606969,33297.2
Commercial on South Griffin Street,commercial,"Dallas County, Texas",South Griffin Street,32.77733802295295,-96.80176356,27010.58498551289,17556.88
Three AT&T Plaza,commercial,"Dallas County, Texas",South Akard Street,32.778886316845224,-96.7988024,38927.04735126692,25302.58
Comerica Bank,commercial,"Dallas County, Texas",Main Street,32.78161058,-96.7965282,58797.20712400137,38218.18
Dallas Bus Station,commercial,"Dallas County, Texas",South Lamar Street,32.77837939485122,-96.80441582,41335.733946647415,26868.23
Commercial on South Austin Street,commercial,"Dallas County, Texas",South Austin Street,32.76464387290466,-96.79451471,476874.13564118784,309968.19
Warehouse on Parker Street,warehouse,"Dallas County, Texas",Parker Street,32.76499174228774,-96.78503205,241763.0989476593,157146.01
Retail on West Sandy Lake Road,retail,"Dallas County, Texas",West Sandy Lake Road,32.972434,-97.0184165,103192.44784891664,67075.09
Retail on West Sandy Lake Road,retail,"Dallas County, Texas",West Sandy Lake Road,32.97242000000001,-97.016303,63354.75675918217,41180.59
Retail on West Sandy Lake Road,retail,"Dallas County, Texas",West Sandy Lake Road,32.97250525000001,-97.02368225,58152.63378562181,37799.21
Warehouse on West Sandy Lake Road,warehouse,"Dallas County, Texas",West Sandy Lake Road,32.97528833452704,-97.02157281,597958.5220008332,388673.04
Retail on Freeport Parkway,retail,"Dallas County, Texas",Freeport Parkway,32.97487304818557,-97.01641121,196811.34023710663,127927.37
Warehouse on Esters Boulevard,warehouse,"Dallas County, Texas",Esters Boulevard,32.92843195000001,-97.02563775,477126.4185,310132.17
Warehouse on North 28th Avenue,warehouse,"Dallas County, Texas",North 28th Avenue,32.92839055,-97.0222021,255462.25869722664,166050.47
Amazon Fulfillment Center DFW8,warehouse,"Dallas County, Texas",Regent Boulevard,32.93969044764095,-97.02836135,629454.5614024416,409145.46
Warehouse on Trade Avenue,warehouse,"Dallas County, Texas",Trade Avenue,32.93954259466779,-97.02484767,235971.3413255789,153381.37
Warehouse on Regent Boulevard,warehouse,"Dallas County, Texas",Regent Boulevard,32.943437050000014,-97.027206,404517.4941656828,262936.37
Industrial on Regent Boulevard,industrial,"Dallas County, Texas",Regent Boulevard,32.94166262117937,-97.01865241,385976.6924109903,250884.85
Industrial on Regent Boulevard,industrial,"Dallas County, Texas",Regent Boulevard,32.94120514484797,-97.01620798,182892.1152939901,118879.87
Freeport Commerce,warehouse,"Dallas County, Texas",Sterling Street,32.934396249999985,-97.01779065,51342.59930001704,33372.69
Warehouse on North Royal Lane,warehouse,"Dallas County, Texas",North Royal Lane,32.92845982008033,-97.02128999,153190.4712315709,99573.81
