name,building,Building_Sq_Ft,county,latitude,longitude
The Plaza,commercial,49711.89644087618,"Dallas County, Texas",32.96751777663472,-96.72795188
,commercial,52529.09040415675,"Dallas County, Texas",32.96399761904659,-96.75082875
Kraft,industrial,610072.7664390603,"Dallas County, Texas",32.90720558385896,-96.66341399
Forum 3,office,47916.31557622161,"Dallas County, Texas",32.951918720606564,-96.84674063
,office,57581.01359868545,"Dallas County, Texas",32.96935582015243,-96.82829103
Storage Star Forest Lane,commercial,79069.61326334414,"Dallas County, Texas",32.908539511261175,-96.88447078
Southwest Kia Mesquite,retail,32604.101227508498,"Dallas County, Texas",32.83856195001451,-96.63162427
,commercial,29501.82343002631,"Dallas County, Texas",32.89552854,-96.89288359
,commercial,27682.834564152123,"Dallas County, Texas",32.86285483863633,-96.76849218
High Point Center,commercial,41004.04369338787,"Dallas County, Texas",32.91435962245566,-96.74601286
Good Coworking,commercial,34116.45501287862,"Dallas County, Texas",32.77552699,-96.78079075
,office,37731.69163339575,"Dallas County, Texas",32.93504185452204,-96.81559478
,retail,54287.75063422918,"Dallas County, Texas",32.95337234337669,-96.82117222
Movement Design District,commercial,28890.183575191248,"Dallas County, Texas",32.790068539750294,-96.82331643
Costco,retail,153347.45731834063,"Dallas County, Texas",32.919557211653014,-96.7684286
American Airlines Center,commercial,189856.39025608174,"Dallas County, Texas",32.79048501281591,-96.8102794
Exchange Logistics,warehouse,115374.11656448775,"Dallas County, Texas",32.71868195286547,-96.87180395
,commercial,116608.20517384766,"Dallas County, Texas",32.71867466092288,-96.86906686
,warehouse,197909.05761963438,"Dallas County, Texas",32.71726052502369,-96.87034547
,warehouse,74306.32326592403,"Dallas County, Texas",32.716211248095306,-96.87218777
,commercial,183908.67259011415,"Dallas County, Texas",32.708571354405414,-96.80027496
,warehouse,279127.6296055547,"Dallas County, Texas",32.90666026066305,-96.67111975
,warehouse,330732.8055155796,"Dallas County, Texas",32.90489025000001,-96.6726102
,warehouse,231011.0773333101,"Dallas County, Texas",32.90499669152648,-96.66988678
,warehouse,251883.78395688042,"Dallas County, Texas",32.90273231940744,-96.67288938
,warehouse,135303.99580008065,"Dallas County, Texas",32.86982273,-96.89944349
,warehouse,113223.6535,"Dallas County, Texas",32.86778185,-96.8997672
,warehouse,119379.34510331044,"Dallas County, Texas",32.870200239811744,-96.90075389
,warehouse,143503.32413160737,"Dallas County, Texas",32.87263882458236,-96.90090835
,commercial,58325.86683891274,"Dallas County, Texas",32.77982037962014,-96.75660956
,commercial,42174.25394138834,"Dallas County, Texas",32.77782107111343,-96.80330722
,commercial,55717.92814666559,"Dallas County, Texas",32.77551439265743,-96.8055489
,industrial,65469.47775216728,"Dallas County, Texas",32.7751501,-96.80629657
,warehouse,288080.67472004413,"Dallas County, Texas",32.902912524900714,-96.67579358
,warehouse,153883.3206390392,"Dallas County, Texas",32.90162252520609,-96.67569704
Academy Sports + Outdoors,retail,57689.50033550211,"Dallas County, Texas",32.90653448416899,-96.76633775
The Home Depot,commercial,115372.3779309481,"Dallas County, Texas",32.907023155452364,-96.76481574
The Container Store,warehouse,1069891.7620363822,"Dallas County, Texas",32.960743977156994,-97.01023057
,warehouse,558296.3352858685,"Dallas County, Texas",32.95830104,-97.00916614
,commercial,39117.72857178887,"Dallas County, Texas",32.683029316418256,-96.8650147
,commercial,23296.15302596341,"Dallas County, Texas",32.685674168277224,-96.86493636
,commercial,21051.422270886585,"Dallas County, Texas",32.67898442232267,-96.86276988
,commercial,35875.74158448853,"Dallas County, Texas",32.679929801579014,-96.86254742
,commercial,20691.54113,"Dallas County, Texas",32.68000259490315,-96.86192348
,commercial,28574.302635882515,"Dallas County, Texas",32.68036570510581,-96.86260684
,commercial,29782.699162702498,"Dallas County, Texas",32.680511677164695,-96.86300131
,warehouse,99376.16874838113,"Dallas County, Texas",32.857443971132525,-96.66197978
,warehouse,25032.045481654095,"Dallas County, Texas",32.857528989248316,-96.6639473
12750 Perimeter,warehouse,182736.28540913944,"Dallas County, Texas",32.86004631249099,-96.65980317
,warehouse,174291.14337818648,"Dallas County, Texas",32.86055468862437,-96.66207621
,warehouse,101469.01950919686,"Dallas County, Texas",32.85612353112676,-96.66682582
,commercial,51491.56508402797,"Dallas County, Texas",32.93228755000001,-96.809336
,warehouse,332078.7275894353,"Dallas County, Texas",32.76072501007305,-96.88608931
,warehouse,1016860.7545689209,"Dallas County, Texas",32.75866673336422,-96.88412414
,warehouse,472430.7118225743,"Dallas County, Texas",32.76232983767438,-96.89078347
,warehouse,95275.10895219876,"Dallas County, Texas",32.761590570701685,-96.89347584
,warehouse,50968.448126391486,"Dallas County, Texas",32.76258932685527,-96.89285193
,warehouse,38966.96080890207,"Dallas County, Texas",32.76171069709222,-96.89255063
,warehouse,645544.2749220508,"Dallas County, Texas",32.76042232348517,-96.89714032
,commercial,314988.861,"Dallas County, Texas",32.76035361837558,-96.90070589
,warehouse,442647.8501527758,"Dallas County, Texas",32.76120939147416,-96.88239609
,warehouse,360706.6501070012,"Dallas County, Texas",32.75297799214201,-96.88952529
,warehouse,253986.2455490837,"Dallas County, Texas",32.753024963585275,-96.88565993
